date,balance,count
2011-05-01,1049.851493,33
2011-05-08,1049.287041,33
2011-05-15,1049.199008,33
2011-05-22,1048.742035,33
2011-05-29,1048.354591,33
2011-06-05,1048.248912,33
2011-06-12,1048.248912,33
2011-06-19,1048.248912,33
2011-06-26,1048.248912,33
2011-07-03,1048.243872,33
2011-07-10,1048.243872,33
2011-07-17,1048.243872,33
2011-07-24,1048.243829,34
2011-07-31,1048.243816,34
2011-08-07,1048.241216,35
2011-08-14,1051.741216,35
2011-08-21,1111.241213,35
2011-08-28,1111.241203,36
2011-09-04,1111.240751,36
2011-09-11,1166.240672,36
2011-09-18,1166.240672,36
2011-09-25,1166.240672,35
2011-10-02,1165.184882,36
2011-10-09,1165.184882,36
2011-10-16,1165.184882,36
2011-10-23,1165.184882,36
2011-10-30,1165.184882,36
2011-11-06,1165.181637,36
2011-11-13,1165.181627,36
2011-11-20,1165.181627,36
2011-11-27,1165.181626,36
2011-12-04,1162.925506,35
2011-12-11,1162.925496,35
2011-12-18,1162.925496,35
2011-12-25,1162.925496,35
2012-01-01,1162.925496,35
2012-01-08,1162.624316,35
2012-01-15,1162.624316,34
2012-01-22,1162.623856,34
2012-01-29,1158.091258,34
2012-02-05,1158.091258,34
2012-02-12,1157.727645,33
2012-02-19,1157.727612,33
2012-02-26,1157.727602,33
2012-03-04,1151.544884,33
2012-03-11,1151.544807,33
2012-03-18,1151.544551,33
2012-03-25,1151.544551,34
2012-04-01,1143.697889,34
2012-04-08,1134.446605,34
2012-04-15,1134.446554,34
2012-04-22,1138.946437,34
2012-04-29,1138.946353,34
2012-05-06,1138.643427,34
2012-05-13,1137.602621,33
2012-05-20,1137.602616,33
2012-05-27,1137.602176,33
2012-06-03,1137.599257,33
2012-06-10,1137.599156,34
2012-06-17,1137.599156,34
2012-06-24,1218.100654,34
2012-07-01,1218.099984,34
2012-07-08,1218.090744,33
2012-07-15,1218.090744,33
2012-07-22,1218.090744,33
2012-07-29,1218.090744,33
2012-08-05,1218.090471,33
2012-08-12,1218.090399,33
2012-08-19,1218.090316,33
2012-08-26,1218.090265,33
2012-09-02,1218.090165,33
2012-09-09,1218.090165,32
2012-09-16,1218.090165,32
2012-09-23,1218.090155,32
2012-09-30,1218.090155,31
2012-10-07,1218.089162,30
2012-10-14,1218.089162,30
2012-10-21,1218.089162,31
