code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
113650.SH,博22转债,基础化工,603916.SH,苏博特,127.446,11.6,0.0062775624225079,7.0110701107011,1.8986301369864,101.543243,23.27,49.849591749033,155.66107068966,-4.4426,112.26654071745,13.520911204299,AA-,7.99558,8,0.64280750521195,16,2022-07-28
113652.SH,伟22转债,环保,603568.SH,伟明环保,132.137,15.41,0.39966264218037,-0.19430051813471,1.9561643835616,49.549056,19.02,81.019978969506,63.091871512005,-8.2512,108.19285338769,22.130987271874,AA,14.76619,14.77,1.1172585841426,0.71895424836601,2022-08-12
113655.SH,欧22转债,轻工制造,603833.SH,欧派家居,122.637,31.63,-1.2997778707787,-4.2385709960642,1.9945205479453,66.949503,51.54,61.369809856422,99.832784698071,-3.7085,110.05650708797,11.430939655363,AA,19.99906,20,-2.9148425810844,-9.1091954022988,2022-09-01
113656.SH,嘉诚转债,交通运输,603535.SH,嘉诚国际,124.676,6.34,-0.4145532968569,-1.5527950310559,2.0684931506848,16.904237,10.35,61.256038647343,103.53258675079,-2.4751,108.57911730124,14.82502630234,AA-,7.99872,8,0.036106586643774,0,2022-10-12
113658.SH,密卫转债,交通运输,603713.SH,密尔克卫,122.192,68.1,0,1.1887072808321,0.013698630137014,0,54.72,124.45175438596,-1.8157674008811,-1244.7767,101.29506797395,20.629762577809,AA-,0.03559,8.72388,13.135502985973,16.310845431255,2022-10-25
113659.SH,莱克转债,家用电器,603355.SH,莱克电气,134.552,28.11,-0.59766106928879,-1.0211267605634,2.186301369863,81.80447,31.72,88.619167717528,51.831712557809,-7.6966,109.20989053341,23.20495821653,AA,11.9981,12,-1.3179414590499,0.75268817204301,2022-11-15
113660.SH,寿22转债,医药生物,603896.SH,寿仙谷,126,14.71,-0.35350779377921,0.82248115147362,2.2794520547945,7.565248,36.84,39.929424538545,215.55676410605,-3.8142,109.75656829261,14.799507637742,AA-,3.97688,3.98,-0.3306491164233,-0.74224021592442,2022-12-12
113661.SH,福22转债,电力设备,603806.SH,福斯特,142.989,15.61,1.1087462258081,3.7898936170213,2.2931506849316,111.064268,14.59,106.99108978753,33.645708520179,-9.8097,108.97755335874,31.209589124561,AA,30.29742,30.3,1.7838457322238,6.4076346284935,2022-12-22
113665.SH,汇通转债,建筑装饰,603176.SH,汇通集团,126.177,4.56,-0.52035289387166,-0.43668122270743,2.3561643835617,21.828785,6.28,72.611464968153,73.770078947368,-2.6753,107.06287419257,17.853178285734,AA-,3.59626,3.6,1.1122775244613,7.0422535211268,2023-01-11
113666.SH,爱玛转债,汽车,603529.SH,爱玛科技,124.284,20.91,-0.83064033512866,-0.61787072243346,2.5479452054794,35.895604,37.06,56.422018348624,120.27570731707,-3.6239,108.42557564536,14.626091916278,AA,19.99494,20,-1.009151659485,-3.9944903581267,2023-03-20
113667.SH,春23转债,电子,603890.SH,春秋电子,199.519,19.13,3.309739187167,1.9722814498934,2.6082191780822,854.591078,9.95,192.26130653266,3.774911134344,-18.3367,111.59271127731,78.792143067646,AA-,5.69229,5.7,8.5002827808231,10.898550724638,2023-04-11
113670.SH,金23转债,轻工制造,603180.SH,金牌家居,124.224,14.76,-0.80965841038662,-1.138647019424,2.6931506849314,18.687788,37.54,39.318060735216,215.94640650407,-1.8248,112.90396102924,10.026254940543,AA,7.6999,7.7,-0.48546022590723,0.61349693251534,2023-05-16
113671.SH,武进转债,钢铁,603878.SH,武进不锈,130.653,4.94,-0.56849315068494,-1.002004008016,2.9232876712329,16.00771,7.88,62.690355329949,108.410048583,-4.8235,107.67166294708,21.34390462996,AA,3.09302,3.1,0.62848032533099,4.2194092827004,2023-08-03
113673.SH,岱美转债,汽车,603730.SH,岱美股份,192.497,10.11,-5.5229447852761,-5.0704225352113,2.9452054794519,357.939426,7.12,141.99438202247,35.566631058358,-16.1551,109.52838191851,75.750793199174,AA,9.07839,9.07939,-2.6440763686939,5.3125,2023-08-10
113674.SH,华设转债,建筑装饰,603018.SH,华设集团,132.052,5.25,-0.57598048442595,-1.1299435028249,2.9534246575342,14.126273,6.95,75.539568345324,74.811695238095,-4.5498,109.49578343627,20.600077789163,AA,3.99862,4,-0.99268234165068,-1.5009380863039,2023-08-15
113677.SH,华懋转债,汽车,603306.SH,华懋科技,320.083,73.03,5.5404246900554,8.1925925925926,3.1041095890412,2446.571971,33.66,216.96375519905,47.528327810489,-28.2051,107.94808362037,196.5156853786,AA-,10.48965,10.5,21.063341313877,26.174844505874,2023-10-12
113678.SH,中贝转债,通信,603220.SH,中贝通信,153.761,19.72,-1.7765200393505,-2.8092656481025,3.2,133.819104,20.47,96.336101612115,59.60890821501,-7.5023,104.46502785842,47.188971421509,A+,5.1059,5.17,5.0990765613359,8.2327113062569,2023-11-21
113679.SH,芯能转债,公用事业,603105.SH,芯能科技,127.574,7.2,-0.55966077385964,0.13908205841446,3.2191780821918,18.538102,12.55,57.370517928287,122.36856944444,-2.0518,110.49619619893,15.455558099326,AA-,8.79852,8.8,-0.51933873986277,0.13908205841446,2023-11-24
